County,Year,Population
Chenango,1994,"52,479"
Chenango,1995,"52,127"
Chenango,1996,"52,297"
Chenango,1997,"52,017"
Chenango,1998,"51,432"
Chenango,1999,"51,286"
Chenango,2000,"51,325"
Chenango,2001,"51,109"
Chenango,2002,"51,205"
Chenango,2003,"51,393"
Chenango,2004,"51,297"
Chenango,2005,"51,154"
Chenango,2006,"51,391"
Chenango,2007,"51,463"
Chenango,2008,"51,326"
Chenango,2009,"50,639"
Chenango,2010,"50,412"
Chenango,2011,"50,239"
Chenango,2012,"49,975"
Chenango,2013,"49,600"
Chenango,2014,"49,484"
Chenango,2015,"48,973"
Chenango,2016,"48,538"
Chenango,2017,"48,089"
Chenango,2018,"47,784"
Chenango,2019,"47,549"
Chenango,2020,"47,071"
Chenango,2021,"46,604"
Chenango,2022,"46,334"
Chenango,2023,"45,904"
Chenango,2024,"45,793"
Clinton,1990,"86,160"
Clinton,1991,"86,086"
Clinton,1992,"85,555"
Clinton,1993,"86,420"
Clinton,1994,"86,444"
Clinton,1995,"82,914"
Clinton,1996,"80,440"
Clinton,1997,"80,191"
Clinton,1998,"79,926"
Clinton,1999,"79,875"
Clinton,2000,"79,891"
Clinton,2001,"80,320"
Clinton,2002,"80,707"
Clinton,2003,"81,396"
Clinton,2004,"81,803"
Clinton,2005,"82,233"
Clinton,2006,"82,547"
Clinton,2007,"82,556"
Clinton,2008,"82,401"
Clinton,2009,"82,280"
Clinton,2010,"82,098"
Clinton,2011,"81,726"
Clinton,2012,"81,715"
Clinton,2013,"81,521"
Clinton,2014,"81,468"
Clinton,2015,"80,724"
Clinton,2016,"80,478"
Clinton,2017,"80,546"
Clinton,2018,"80,619"
Clinton,2019,"79,968"
Clinton,2020,"79,713"
Clinton,2021,"79,034"
Clinton,2022,"78,011"
Clinton,2023,"77,905"
Clinton,2024,"77,832"
Columbia,1990,"63,048"
Columbia,1991,"62,967"
Columbia,1992,"63,228"
Columbia,1993,"63,428"
Columbia,1994,"63,549"
Columbia,1995,"63,790"
Columbia,1996,"63,625"
Columbia,1997,"63,505"
Columbia,1998,"63,356"
Columbia,1999,"63,217"
Columbia,2000,"63,046"
Columbia,2001,"62,953"
Columbia,2002,"63,182"
Columbia,2003,"63,304"
Columbia,2004,"63,646"
Columbia,2005,"63,717"
Columbia,2006,"63,427"
Columbia,2007,"63,430"
Columbia,2008,"63,253"
Columbia,2009,"63,023"
Columbia,2010,"63,084"
Columbia,2011,"62,779"
Columbia,2012,"62,895"
Columbia,2013,"62,795"
Columbia,2014,"62,796"
Columbia,2015,"62,488"
Columbia,2016,"62,037"
Columbia,2017,"61,746"
Columbia,2018,"61,482"
Columbia,2019,"61,410"
Columbia,2020,"61,468"
Columbia,2021,"61,949"
Columbia,2022,"61,176"
Columbia,2023,"60,607"
Columbia,2024,"60,389"
Cortland,1990,"49,127"
Cortland,1991,"49,280"
Cortland,1992,"49,500"
Cortland,1993,"49,584"
Cortland,1994,"49,502"
Cortland,1995,"49,123"
Cortland,1996,"48,726"
Cortland,1997,"48,619"
Cortland,1998,"48,755"
Cortland,1999,"48,734"
Cortland,2000,"48,693"
Cortland,2001,"48,903"
Cortland,2002,"48,891"
Cortland,2003,"49,475"
Cortland,2004,"49,628"
Cortland,2005,"49,330"
Cortland,2006,"49,449"
Cortland,2007,"49,624"
Cortland,2008,"49,537"
Cortland,2009,"49,358"
Cortland,2010,"49,265"
Cortland,2011,"49,322"
Cortland,2012,"48,922"
Cortland,2013,"48,759"
Cortland,2014,"48,546"
Cortland,2015,"48,050"
Cortland,2016,"47,654"
Cortland,2017,"47,491"
Cortland,2018,"47,330"
Cortland,2019,"46,972"
Cortland,2020,"46,745"
Cortland,2021,"46,488"
Cortland,2022,"46,128"
Cortland,2023,"46,004"
Cortland,2024,"46,062"
Delaware,1990,"47,464"
Delaware,1991,"47,733"
Delaware,1992,"48,021"
Delaware,1993,"48,387"
Delaware,1994,"48,526"
Delaware,1995,"48,638"
Delaware,1996,"48,342"
Delaware,1997,"47,878"
Delaware,1998,"47,999"
Delaware,1999,"48,069"
Delaware,2000,"47,864"
Delaware,2001,"47,771"
Delaware,2002,"47,666"
Delaware,2003,"47,930"
Delaware,2004,"48,283"
Delaware,2005,"48,377"
Delaware,2006,"48,271"
Delaware,2007,"48,450"
Delaware,2008,"48,363"
Delaware,2009,"48,182"
Delaware,2010,"47,894"
Delaware,2011,"47,614"
Delaware,2012,"47,270"
Delaware,2013,"46,883"
Delaware,2014,"46,668"
Delaware,2015,"46,020"
Delaware,2016,"45,547"
Delaware,2017,"45,234"
Delaware,2018,"44,820"
Delaware,2019,"44,576"
Delaware,2020,"44,215"
Delaware,2021,"44,736"
Delaware,2022,"44,771"
Delaware,2023,"44,533"
Delaware,2024,"44,481"
Dutchess,1990,"260,238"
Dutchess,1991,"261,952"
Dutchess,1992,"264,450"
Dutchess,1993,"265,585"
Dutchess,1994,"264,860"
Dutchess,1995,"266,538"
Dutchess,1996,"268,986"
Dutchess,1997,"270,935"
Dutchess,1998,"273,784"
Dutchess,1999,"277,586"
Dutchess,2000,"280,914"
Dutchess,2001,"284,712"
Dutchess,2002,"287,700"
Dutchess,2003,"290,781"
Dutchess,2004,"292,859"
Dutchess,2005,"294,362"
Dutchess,2006,"294,712"
Dutchess,2007,"295,319"
Dutchess,2008,"296,267"
Dutchess,2009,"296,887"
Dutchess,2010,"297,778"
Dutchess,2011,"298,424"
Dutchess,2012,"297,539"
Dutchess,2013,"297,030"
Dutchess,2014,"296,127"
Dutchess,2015,"295,297"
Dutchess,2016,"294,484"
Dutchess,2017,"295,158"
Dutchess,2018,"295,687"
Dutchess,2019,"296,034"
Dutchess,2020,"296,309"
Dutchess,2021,"297,659"
Dutchess,2022,"297,214"
Dutchess,2023,"297,451"
Dutchess,2024,"299,256"
Erie,1990,"969,780"
Erie,1991,"973,280"
Erie,1992,"976,538"
Erie,1993,"977,751"
Erie,1994,"977,079"
Erie,1995,"973,927"
Erie,1996,"970,375"
