County,Year,Population
Ulster,1998,"175,085"
Ulster,1999,"176,526"
Ulster,2000,"177,810"
Ulster,2001,"178,440"
Ulster,2002,"180,128"
Ulster,2003,"180,942"
Ulster,2004,"181,847"
Ulster,2005,"182,438"
Ulster,2006,"182,845"
Ulster,2007,"182,818"
Ulster,2008,"183,174"
Ulster,2009,"182,638"
Ulster,2010,"182,522"
Ulster,2011,"182,959"
Ulster,2012,"182,458"
Ulster,2013,"182,025"
Ulster,2014,"182,140"
Ulster,2015,"181,801"
Ulster,2016,"181,552"
Ulster,2017,"181,558"
Ulster,2018,"181,819"
Ulster,2019,"181,643"
Ulster,2020,"181,304"
Ulster,2021,"183,636"
Ulster,2022,"182,546"
Ulster,2023,"182,956"
Ulster,2024,"183,095"
Warren,1990,"59,520"
Warren,1991,"60,166"
Warren,1992,"60,808"
Warren,1993,"61,670"
Warren,1994,"61,923"
Warren,1995,"62,271"
Warren,1996,"62,337"
Warren,1997,"62,460"
Warren,1998,"62,585"
Warren,1999,"63,031"
Warren,2000,"63,273"
Warren,2001,"63,406"
Warren,2002,"63,774"
Warren,2003,"64,323"
Warren,2004,"64,576"
Warren,2005,"65,206"
Warren,2006,"65,554"
Warren,2007,"65,740"
Warren,2008,"65,848"
Warren,2009,"65,694"
Warren,2010,"65,715"
Warren,2011,"65,989"
Warren,2012,"65,870"
Warren,2013,"65,735"
Warren,2014,"65,709"
Warren,2015,"65,457"
Warren,2016,"65,725"
Warren,2017,"65,798"
Warren,2018,"65,853"
Warren,2019,"65,755"
Warren,2020,"65,597"
Warren,2021,"65,762"
Warren,2022,"65,461"
Warren,2023,"65,467"
Warren,2024,"65,261"
Washington,1990,"59,507"
Washington,1991,"60,120"
Washington,1992,"60,482"
Washington,1993,"60,902"
Washington,1994,"60,860"
Washington,1995,"61,225"
Washington,1996,"61,278"
Washington,1997,"60,950"
Washington,1998,"60,851"
Washington,1999,"61,043"
Washington,2000,"60,977"
Washington,2001,"61,142"
Washington,2002,"61,152"
Washington,2003,"61,621"
Washington,2004,"62,278"
Washington,2005,"62,468"
Washington,2006,"62,771"
Washington,2007,"63,054"
Washington,2008,"63,252"
Washington,2009,"63,077"
Washington,2010,"63,372"
Washington,2011,"63,167"
Washington,2012,"63,137"
Washington,2013,"62,960"
Washington,2014,"62,732"
Washington,2015,"62,559"
Washington,2016,"62,148"
Washington,2017,"61,989"
Washington,2018,"61,777"
Washington,2019,"61,665"
Washington,2020,"61,127"
Washington,2021,"60,924"
Washington,2022,"60,808"
Washington,2023,"60,052"
Washington,2024,"59,822"
Wayne,1990,"89,365"
Wayne,1991,"90,222"
Wayne,1992,"90,896"
Wayne,1993,"91,779"
Wayne,1994,"92,203"
Wayne,1995,"92,740"
Wayne,1996,"93,128"
Wayne,1997,"93,282"
Wayne,1998,"93,624"
Wayne,1999,"93,790"
Wayne,2000,"93,791"
Wayne,2001,"93,794"
Wayne,2002,"93,735"
Wayne,2003,"94,001"
Wayne,2004,"93,860"
Wayne,2005,"93,727"
Wayne,2006,"93,595"
Wayne,2007,"93,539"
Wayne,2008,"93,739"
Wayne,2009,"93,643"
Wayne,2010,"93,796"
Wayne,2011,"93,484"
Wayne,2012,"93,444"
Wayne,2013,"92,946"
Wayne,2014,"92,585"
Wayne,2015,"92,262"
Wayne,2016,"91,950"
Wayne,2017,"91,736"
Wayne,2018,"91,597"
Wayne,2019,"91,483"
Wayne,2020,"91,201"
Wayne,2021,"91,181"
Wayne,2022,"90,839"
Wayne,2023,"90,721"
Wayne,2024,"90,988"
Westchester,1990,"875,578"
Westchester,1991,"878,615"
Westchester,1992,"885,146"
Westchester,1993,"890,061"
Westchester,1994,"893,531"
Westchester,1995,"897,945"
Westchester,1996,"902,174"
Westchester,1997,"905,632"
Westchester,1998,"911,628"
Westchester,1999,"918,532"
Westchester,2000,"925,511"
Westchester,2001,"931,577"
Westchester,2002,"935,219"
Westchester,2003,"935,799"
Westchester,2004,"935,457"
Westchester,2005,"933,401"
Westchester,2006,"931,426"
Westchester,2007,"933,414"
Westchester,2008,"937,449"
Westchester,2009,"944,201"
Westchester,2010,"951,690"
Westchester,2011,"961,082"
Westchester,2012,"968,129"
Westchester,2013,"976,839"
Westchester,2014,"983,034"
Westchester,2015,"988,474"
Westchester,2016,"993,783"
Westchester,2017,"997,084"
Westchester,2018,"999,708"
Westchester,2019,"1,002,976"
Westchester,2020,"1,001,451"
Westchester,2021,"1,000,252"
Westchester,2022,"994,313"
Westchester,2023,"998,335"
Westchester,2024,"1,009,165"
Wyoming,1990,"42,563"
Wyoming,1991,"43,163"
Wyoming,1992,"43,397"
Wyoming,1993,"43,474"
Wyoming,1994,"43,521"
Wyoming,1995,"43,709"
Wyoming,1996,"43,950"
Wyoming,1997,"43,767"
Wyoming,1998,"43,527"
Wyoming,1999,"43,584"
Wyoming,2000,"43,399"
Wyoming,2001,"43,061"
Wyoming,2002,"43,007"
Wyoming,2003,"42,955"
Wyoming,2004,"42,852"
Wyoming,2005,"42,780"
Wyoming,2006,"42,673"
Wyoming,2007,"42,515"
Wyoming,2008,"42,281"
Wyoming,2009,"42,236"
Wyoming,2010,"42,148"
Wyoming,2011,"41,971"
Wyoming,2012,"41,916"
Wyoming,2013,"41,678"
Wyoming,2014,"41,549"
Wyoming,2015,"41,437"
Wyoming,2016,"41,044"
Wyoming,2017,"40,985"
Wyoming,2018,"40,851"
Wyoming,2019,"40,737"
Wyoming,2020,"40,264"
Wyoming,2021,"40,125"
Wyoming,2022,"39,824"
Wyoming,2023,"39,750"
Wyoming,2024,"39,817"
Yates,1990,"22,891"
Yates,1991,"23,087"
Yates,1992,"23,211"
Yates,1993,"23,531"
Yates,1994,"23,922"
Yates,1995,"24,064"
Yates,1996,"24,209"
Yates,1997,"24,245"
Yates,1998,"24,355"
Yates,1999,"24,613"
Yates,2000,"24,723"
Yates,2001,"24,725"
Yates,2002,"24,688"
Yates,2003,"24,898"
Yates,2004,"25,008"
Yates,2005,"25,129"
Yates,2006,"25,025"
Yates,2007,"25,234"
Yates,2008,"25,352"
Yates,2009,"25,303"
Yates,2010,"25,375"
Yates,2011,"25,448"
Yates,2012,"25,332"
Yates,2013,"25,206"
Yates,2014,"25,145"
Yates,2015,"25,124"
Yates,2016,"25,055"
Yates,2017,"24,992"
Yates,2018,"24,926"
Yates,2019,"24,865"
Yates,2020,"24,735"
Yates,2021,"24,574"
Yates,2022,"24,455"
Yates,2023,"24,367"
Yates,2024,"24,434"
