County,Year,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Population,Index_Total_Rate,Property_Total_Rate,Violent_Total_Rate,Murder_Rate,Rape_Rate,Robbery_Rate,Aggravated_Assault_Rate,Burglary_Rate,Larceny_Rate,Motor_Vehicle_Theft_Rate
Allegany,1993,2530,262,2,22,12,226,2268,974,1264,30,50807,4979.628791308284,4463.951817662921,515.6769736453638,3.936465447674533,43.301119924419865,23.618792686047197,444.8205955872223,1917.0586730174975,2487.8461629303047,59.046981715118
Allegany,1994,2470,258,0,16,2,240,2212,724,1432,56,51012,4841.997961264016,4336.234611463969,505.763349800047,0.0,31.365168979847876,3.9206461224809845,470.47753469771817,1419.2738963381164,2807.1826236963852,109.77809142946758
Allegany,1995,2494,320,4,36,2,278,2174,702,1426,46,51251,4866.246512263176,4241.868451347291,624.3780609158846,7.804725761448558,70.24253185303702,3.902362880724279,542.4284404206746,1369.7293711342218,2782.3847339564104,89.75434625665841
Allegany,1996,2192,186,0,28,0,158,2006,660,1306,40,50869,4309.107708034363,3943.462619670133,365.6450883642297,0.0,55.043346635475444,0.0,310.60174172875423,1297.4503135504924,2567.378953783247,78.63335233639349
Allegany,1997,1886,168,0,16,2,150,1718,506,1172,40,50325,3747.640337804272,3413.8102334823643,333.8301043219076,0.0,31.793343268753105,3.974167908594138,298.06259314456037,1005.4644808743169,2328.862394436165,79.48335817188276
Allegany,1998,1782,138,2,16,10,110,1644,598,1002,44,49991,3564.6416354943885,3288.591946550379,276.0496889440099,4.000720129623332,32.005761036986655,20.00360064811666,220.03960712928327,1196.2153187573763,2004.3607849412895,88.0158428517133
Allegany,1999,1518,188,0,10,4,174,1330,364,918,48,49997,3036.182170930256,2660.1596095765744,376.0225613536812,0.0,20.00120007200432,8.000480028801729,348.02088125287514,728.0436826209573,1836.1101666099964,96.00576034562074
Allegany,2000,1928,286,6,18,2,260,1642,500,1110,32,49819,3870.009434151629,3295.9312712017504,574.0781629498786,12.043597824123326,36.13079347236998,4.014532608041109,521.8892390453442,1003.6331520102773,2228.0655974628153,64.23252172865774
Allegany,2001,1800,286,0,12,2,272,1514,388,1086,40,50079,3594.3209728628767,3023.223307174664,571.0976656882126,0.0,23.962139819085845,3.993689969847641,543.1418358992792,774.7758541504423,2168.573653627269,79.8737993969528
Allegany,2002,1724,232,0,26,2,204,1492,398,1088,6,50014,3447.034830247531,2983.1647138801136,463.8701163674171,0.0,51.98544407565882,3.9988803135122164,407.8857919782461,795.7771823889311,2175.3908905506455,11.99664094053665
